time,open,high,low,close,tick_volume
2026-03-02 20:00:00,5306.91,5308.36,5289.61,5297.79,17255
2026-03-02 20:30:00,5297.79,5316.7,5291.06,5315.55,12474
2026-03-02 21:00:00,5315.54,5333.31,5313.88,5330.86,12457
2026-03-02 21:30:00,5330.86,5334.07,5322.92,5330.45,8658
2026-03-02 22:00:00,5330.45,5346.37,5328.39,5333.58,18075
2026-03-02 22:30:00,5333.58,5344.81,5331.35,5332.55,15521
2026-03-02 23:00:00,5332.55,5340.54,5331.23,5332.38,5733
2026-03-02 23:30:00,5332.31,5332.61,5320.72,5321.06,6438
2026-03-03 01:00:00,5321.06,5347.17,5321.06,5336.76,6350
2026-03-03 01:30:00,5336.76,5346.74,5330.28,5346.02,7009
2026-03-03 02:00:00,5346.02,5359.12,5336.95,5357.98,8718
2026-03-03 02:30:00,5357.98,5362.19,5346.6,5350.32,9968
2026-03-03 03:00:00,5350.32,5379.88,5347.23,5377.3,16902
2026-03-03 03:30:00,5377.31,5378.74,5337.97,5339.35,19408
2026-03-03 04:00:00,5339.35,5359.57,5333.06,5359.01,19174
2026-03-03 04:30:00,5359.03,5368.09,5355.59,5366.91,14287
2026-03-03 05:00:00,5366.91,5373.57,5364.27,5367.4,12250
2026-03-03 05:30:00,5367.42,5370.74,5359.18,5367.28,8963
2026-03-03 06:00:00,5367.3,5375.6,5359.48,5371.95,8776
2026-03-03 06:30:00,5371.95,5375.46,5361.02,5361.22,9631
2026-03-03 07:00:00,5361.23,5367.28,5352.95,5358.86,12887
2026-03-03 07:30:00,5358.86,5359.56,5305.41,5319.19,24130
2026-03-03 08:00:00,5319.17,5323.09,5278.99,5316.82,23520
2026-03-03 08:30:00,5316.75,5319.31,5290.89,5310.65,19814
2026-03-03 09:00:00,5310.66,5320.14,5306.05,5313.51,12431
2026-03-03 09:30:00,5313.51,5331.23,5313.51,5327.77,13126
2026-03-03 10:00:00,5327.77,5335.93,5310.97,5312.21,15625
2026-03-03 10:30:00,5312.34,5313.48,5290.33,5295.82,17482
2026-03-03 11:00:00,5295.82,5303.92,5226.29,5242.24,24521
2026-03-03 11:30:00,5242.34,5280.96,5240.63,5275.08,22734
2026-03-03 12:00:00,5275.08,5288.13,5265.75,5276.82,16826
2026-03-03 12:30:00,5276.82,5276.95,5238.57,5248.27,21882
2026-03-03 13:00:00,5248.29,5264.1,5113.51,5126.71,26750
2026-03-03 13:30:00,5126.71,5157.84,5075.28,5144.56,25869
2026-03-03 14:00:00,5144.56,5208.95,5138.46,5204.4,24882
2026-03-03 14:30:00,5204.4,5226.77,5188.67,5224.47,18799
2026-03-03 15:00:00,5224.47,5224.62,5146.54,5178.04,31264
2026-03-03 15:30:00,5178.03,5186.34,5127.39,5156.73,28769
2026-03-03 16:00:00,5156.73,5175.6,5125.0,5146.09,27737
2026-03-03 16:30:00,5146.09,5146.09,5015.84,5038.4,33037
2026-03-03 17:00:00,5038.4,5070.11,4995.97,5044.13,28601
2026-03-03 17:30:00,5044.0,5097.01,5037.15,5095.54,32358
2026-03-03 18:00:00,5095.49,5126.11,5090.62,5112.73,29929
2026-03-03 18:30:00,5112.73,5134.82,5098.12,5106.95,29805
2026-03-03 19:00:00,5107.19,5109.87,5081.02,5083.29,27958
2026-03-03 19:30:00,5083.15,5086.11,5065.32,5079.25,30579
2026-03-03 20:00:00,5079.25,5117.25,5079.25,5112.41,25198
2026-03-03 20:30:00,5112.32,5138.23,5107.17,5136.06,20141
2026-03-03 21:00:00,5136.02,5149.04,5102.06,5106.72,22159
2026-03-03 21:30:00,5106.76,5128.47,5099.42,5113.34,23693
2026-03-03 22:00:00,5113.34,5130.41,5112.13,5122.7,19761
2026-03-03 22:30:00,5122.7,5126.48,5086.02,5097.25,21942
2026-03-03 23:00:00,5097.45,5110.34,5089.43,5089.48,7990
2026-03-03 23:30:00,5089.39,5096.1,5082.96,5087.98,6824
2026-03-04 01:00:00,5087.98,5128.51,5084.39,5126.69,10491
2026-03-04 01:30:00,5126.69,5129.83,5116.7,5125.39,9230
2026-03-04 02:00:00,5125.39,5128.92,5105.97,5125.22,12398
2026-03-04 02:30:00,5125.22,5140.42,5122.57,5138.7,12279
2026-03-04 03:00:00,5138.7,5164.43,5138.65,5146.72,21925
2026-03-04 03:30:00,5146.72,5178.62,5142.44,5175.1,22510
2026-03-04 04:00:00,5175.1,5191.09,5168.16,5177.79,17389
2026-03-04 04:30:00,5177.79,5181.05,5153.9,5156.39,18377
2026-03-04 05:00:00,5156.41,5168.29,5141.03,5162.66,17311
2026-03-04 05:30:00,5162.62,5177.53,5154.01,5174.44,14345
2026-03-04 06:00:00,5174.51,5181.03,5162.96,5168.02,12461
2026-03-04 06:30:00,5168.06,5170.76,5152.13,5156.94,11669
2026-03-04 07:00:00,5156.94,5166.3,5152.15,5156.66,13819
2026-03-04 07:30:00,5156.63,5168.32,5154.01,5160.07,17027
2026-03-04 08:00:00,5160.07,5160.07,5122.39,5134.51,19531
2026-03-04 08:30:00,5134.51,5160.82,5132.7,5160.82,16330
2026-03-04 09:00:00,5160.59,5175.98,5158.44,5167.65,14385
2026-03-04 09:30:00,5167.64,5175.91,5163.68,5168.29,10560
2026-03-04 10:00:00,5168.29,5172.24,5147.91,5162.8,15226
2026-03-04 10:30:00,5162.8,5182.22,5161.92,5167.63,11857
2026-03-04 11:00:00,5167.63,5178.52,5159.24,5170.9,12764
2026-03-04 11:30:00,5170.9,5185.02,5168.98,5182.34,10101
2026-03-04 12:00:00,5182.34,5202.58,5182.34,5188.18,15382
2026-03-04 12:30:00,5188.18,5193.84,5179.59,5189.87,10061
2026-03-04 13:00:00,5189.87,5197.67,5187.75,5194.96,8030
2026-03-04 13:30:00,5194.95,5200.77,5187.74,5192.23,9656
2026-03-04 14:00:00,5192.23,5206.14,5174.21,5178.43,13401
2026-03-04 14:30:00,5178.43,5178.54,5156.27,5171.19,17146
2026-03-04 15:00:00,5171.19,5196.32,5171.0,5192.33,18849
2026-03-04 15:30:00,5192.33,5192.95,5167.48,5167.96,17165
2026-03-04 16:00:00,5167.96,5180.79,5160.03,5166.33,22404
2026-03-04 16:30:00,5166.33,5185.18,5138.74,5146.48,34623
2026-03-04 17:00:00,5145.48,5162.93,5131.3,5156.3,32691
2026-03-04 17:30:00,5156.23,5167.13,5133.46,5151.44,27090
2026-03-04 18:00:00,5151.46,5162.57,5138.31,5146.21,23823
2026-03-04 18:30:00,5146.21,5159.21,5142.93,5149.8,18714
2026-03-04 19:00:00,5149.8,5153.08,5120.33,5133.67,18567
2026-03-04 19:30:00,5133.67,5147.66,5128.32,5141.12,18062
2026-03-04 20:00:00,5141.12,5143.55,5111.39,5124.01,22805
2026-03-04 20:30:00,5124.01,5134.87,5108.83,5134.01,14609
2026-03-04 21:00:00,5134.01,5136.8,5124.59,5124.7,10006
2026-03-04 21:30:00,5124.7,5139.67,5123.37,5137.94,11725
2026-03-04 22:00:00,5137.85,5138.91,5123.78,5137.28,12458
2026-03-04 22:30:00,5137.29,5146.78,5132.94,5134.79,12449
2026-03-04 23:00:00,5134.81,5144.08,5133.85,5141.25,5019
2026-03-04 23:30:00,5141.32,5142.1,5129.52,5140.02,4642
2026-03-05 01:00:00,5140.17,5156.88,5140.17,5154.78,4777
2026-03-05 01:30:00,5154.78,5166.19,5148.8,5165.18,6300
2026-03-05 02:00:00,5165.18,5179.88,5159.5,5173.48,7499
2026-03-05 02:30:00,5173.48,5177.32,5166.39,5172.62,6773
2026-03-05 03:00:00,5172.62,5186.54,5169.77,5177.56,15188
2026-03-05 03:30:00,5177.56,5180.14,5167.56,5172.73,15956
2026-03-05 04:00:00,5172.69,5188.24,5171.73,5184.16,12739
2026-03-05 04:30:00,5184.18,5192.5,5174.33,5192.05,12980
2026-03-05 05:00:00,5192.05,5195.01,5184.0,5185.09,10575
2026-03-05 05:30:00,5185.08,5191.11,5178.31,5180.27,7280
2026-03-05 06:00:00,5180.26,5186.67,5174.83,5178.41,6272
2026-03-05 06:30:00,5178.41,5180.27,5166.35,5171.72,6453
2026-03-05 07:00:00,5171.72,5176.82,5169.18,5172.49,6335
2026-03-05 07:30:00,5172.49,5174.38,5148.4,5148.62,12799
2026-03-05 08:00:00,5148.62,5155.37,5120.65,5143.05,19684
2026-03-05 08:30:00,5143.04,5168.81,5140.06,5167.66,13181
2026-03-05 09:00:00,5167.66,5172.78,5160.03,5166.31,12251
2026-03-05 09:30:00,5166.3,5167.15,5158.99,5162.29,13292
2026-03-05 10:00:00,5162.29,5162.62,5137.79,5144.65,14497
2026-03-05 10:30:00,5144.65,5170.21,5143.73,5165.7,12985
2026-03-05 11:00:00,5165.68,5180.61,5161.48,5169.69,18627
2026-03-05 11:30:00,5169.67,5169.8,5153.66,5161.03,12039
2026-03-05 12:00:00,5160.96,5161.0,5146.35,5156.24,10642
2026-03-05 12:30:00,5156.15,5167.63,5147.64,5164.66,9707
2026-03-05 13:00:00,5164.66,5168.02,5161.05,5163.09,7564
2026-03-05 13:30:00,5163.09,5165.11,5156.97,5163.79,6889
2026-03-05 14:00:00,5163.8,5171.53,5161.92,5161.95,8484
2026-03-05 14:30:00,5161.95,5167.84,5160.93,5162.68,8054
2026-03-05 15:00:00,5162.68,5164.16,5083.3,5122.3,24024
2026-03-05 15:30:00,5122.29,5138.01,5109.91,5118.07,19714
2026-03-05 16:00:00,5118.07,5130.06,5102.93,5120.35,19278
2026-03-05 16:30:00,5120.34,5123.81,5090.9,5102.23,32412
2026-03-05 17:00:00,5102.23,5119.98,5060.45,5086.52,32121
2026-03-05 17:30:00,5086.52,5103.15,5077.78,5102.56,26103
2026-03-05 18:00:00,5102.59,5104.65,5060.2,5063.86,22275
2026-03-05 18:30:00,5063.86,5081.35,5054.36,5077.73,23730
2026-03-05 19:00:00,5077.73,5089.58,5074.12,5075.18,18952
2026-03-05 19:30:00,5075.24,5077.32,5055.02,5062.95,23709
2026-03-05 20:00:00,5062.93,5076.06,5050.88,5071.27,24098
2026-03-05 20:30:00,5071.26,5085.5,5067.21,5069.5,16388
