agent_idx,final_equity,winrate,trades,max_losing_streak,avg_monthly_losing_streak,sharpe
28701,14.258127,0.38309354,10564,31,11.916666666666666,6.3817496
39080,14.108176,0.41359502,2089,12,6.625,10.047699
2570,13.760186,0.26031747,2520,23,12.625,6.934074
44145,13.678057,0.26620847,4365,22,14.125,6.2836723
38642,13.620843,0.38498595,2491,14,8.291666666666666,9.124224
11951,13.488551,0.3023427,6787,22,13.666666666666666,5.943449
51540,13.451992,0.38308507,10003,15,11.166666666666666,6.1625915
33237,13.406939,0.321436,4819,15,11.708333333333334,6.8731437
73989,13.212551,0.21656483,2946,31,15.083333333333334,5.7717547
50014,13.179904,0.29686385,2806,19,11.458333333333334,7.2324824
5431,13.174641,0.35569823,3115,15,9.583333333333334,8.11056
31598,13.128111,0.31276977,5560,19,12.5,6.3351316
53486,12.98843,0.37222648,2614,13,7.958333333333333,8.555705
83032,12.963288,0.3431264,3608,16,9.791666666666666,7.5458717
43657,12.930117,0.29392612,7985,28,14.166666666666666,5.2890434
23727,12.879013,0.3720003,13043,18,12.041666666666666,5.1869
20525,12.837017,0.30185077,6808,17,12.541666666666666,5.6576715
32990,12.819336,0.32171836,2095,18,8.708333333333334,7.829095
42183,12.816295,0.31740075,5063,19,12.166666666666666,6.444101
19427,12.745358,0.3550144,3121,14,9.25,7.876223
23226,12.71725,0.2191116,2679,25,13.416666666666666,5.756655
1863,12.506231,0.24977376,5525,25,15.333333333333334,5.1971636
11443,12.419849,0.31589618,4932,22,12.583333333333334,6.309727
20438,12.395085,0.4481596,3559,12,7.166666666666667,9.0633955
57413,12.3850765,0.24943052,5268,25,15.416666666666666,5.235996
87404,12.292816,0.3470516,1628,13,7.5,8.208418
44964,12.242405,0.27465197,3448,17,12.041666666666666,6.2108016
13819,12.210863,0.27391833,3282,27,12.625,6.28457
27234,12.176696,0.20368117,6574,34,18.208333333333332,4.179244
902,12.119596,0.32153326,4435,17,11.166666666666666,6.4471717
83854,12.06223,0.23914982,6728,24,16.958333333333332,4.5787387
20948,12.059551,0.3981554,6397,15,8.625,6.7599707
45773,12.03565,0.2687704,3676,23,12.166666666666666,5.9410834
