agent_idx,final_equity,winrate,trades,max_drawdown
4062,9.546743,0.42674345,1563,0.04721424
6282,9.545374,0.56277883,1569,0.060175475
3173,9.5415,0.55984044,1504,0.04638073
1726,9.528421,0.4770329,3222,0.1090302
6070,9.495946,0.39641622,3181,0.083259754
6502,9.488221,0.3653846,2548,0.053968903
5548,9.470125,0.53580046,2486,0.06844344
2425,9.466902,0.48015454,2847,0.0989926
889,9.466816,0.33845127,1498,0.054302637
2353,9.466781,0.520079,1519,0.10982531
4163,9.455644,0.45721063,5901,0.17294715
3882,9.436596,0.3819201,1427,0.1026071
6087,9.426569,0.3821499,2028,0.04672681
2296,9.420917,0.4207469,1205,0.04513518
1563,9.417333,0.37989557,1532,0.04596907
5107,9.416441,0.42869848,3373,0.07832761
3861,9.377685,0.4633431,1364,0.041193385
13,9.376602,0.38540596,1946,0.054547537
3950,9.374778,0.39935064,1232,0.047759928
748,9.374027,0.4292453,2120,0.042948652
3475,9.365526,0.38534212,3493,0.069786206
2470,9.358843,0.4686914,2667,0.15068246
6597,9.351894,0.6135892,1928,0.07331848
6424,9.347627,0.6352671,1741,0.054957088
4525,9.336387,0.44981685,2730,0.076647416
6504,9.331604,0.40852973,1782,0.04593384
3678,9.32726,0.56455696,1185,0.0345461
5287,9.32236,0.48673168,4409,0.124417365
1989,9.306744,0.4508427,2848,0.09975373
6154,9.30639,0.3059446,3213,0.07810092
467,9.293823,0.384369,1561,0.07701942
445,9.289861,0.39605355,2838,0.046860278
3999,9.289617,0.44798556,1663,0.043081272
311,9.2860565,0.4582505,2012,0.051051527
6686,9.277589,0.50323254,4795,0.11963218
2757,9.275895,0.574141,1106,0.031990882
3606,9.246166,0.45768815,2777,0.10421302
1290,9.245945,0.5075337,5044,0.2310726
5260,9.245335,0.5720388,2575,0.06319342
3449,9.23278,0.43491125,1690,0.059284832
961,9.23181,0.3892562,2420,0.07899908
5162,9.2297535,0.5090744,2204,0.12931837
2644,9.226255,0.53004485,1115,0.030494409
4741,9.22543,0.6676238,1393,0.036568295
6020,9.222082,0.5132434,2001,0.053211696
1568,9.212899,0.4073806,1382,0.049539838
1428,9.202042,0.35877863,1310,0.048877962
1283,9.198194,0.41733432,2746,0.10762197
6140,9.193404,0.5026057,1727,0.051489346
6709,9.184875,0.5718157,1476,0.052056763
736,9.178275,0.39770386,3397,0.1021027
1211,9.170518,0.33248192,2349,0.053493377
925,9.169464,0.32574296,2591,0.057212465
3068,9.166013,0.36095402,4067,0.08995184
1177,9.156236,0.35542858,2625,0.21982592
3866,9.151058,0.5293186,1893,0.057602458
6002,9.144266,0.5471988,1303,0.042319547
5896,9.134237,0.4476826,5696,0.073107794
3028,9.124763,0.4880709,2934,0.07453469
2935,9.124107,0.44223484,1056,0.066719234
6000,9.11365,0.53850126,1935,0.044280857
42,9.09499,0.6427907,1075,0.022945844
313,9.092045,0.39501312,2286,0.08168176
5458,9.0892105,0.5180103,2332,0.11319425
3054,9.08774,0.36092797,4095,0.12808949
5981,9.086204,0.4894083,1369,0.07205281
4084,9.0758915,0.48514518,2962,0.10915094
5995,9.073001,0.43231273,5193,0.0800142
4393,9.068825,0.49863264,2194,0.10064703
4028,9.043856,0.37575758,2145,0.10556156
2489,9.036865,0.45387244,3512,0.09696102
112,9.024969,0.46566856,5811,0.15739685
2862,9.011473,0.32052076,1613,0.05164665
6009,9.000133,0.3951557,1445,0.06145791
3360,8.996027,0.43629062,2739,0.08476175
2680,8.99486,0.3898892,1444,0.051120672
6580,8.994778,0.46470588,2720,0.10536712
4514,8.989114,0.3967259,2871,0.08136052
283,8.985891,0.43399286,3083,0.09232434
