agent_idx,final_equity,winrate,trades,max_drawdown,sharpe,orders_placed,orders_cancelled
785,2.2460196,0.23851204,457,0.13411039,2.0844864058821386,578,121
3476,2.2458472,0.24958949,609,0.08092814,2.3432338890304365,853,244
2546,2.2455964,0.2195572,542,0.1159442,2.0882777956763827,795,253
1530,2.2454433,0.3144729,1679,0.07289098,2.9561521420212946,2410,731
2577,2.2449605,0.38271606,81,0.031997073,2.8023354280972046,84,3
2224,2.2446105,0.31102362,254,0.07064667,2.536975586194351,297,43
2509,2.2443824,0.25395033,886,0.06340227,2.911927999256139,1070,184
1121,2.243686,0.26666668,210,0.051694453,2.4925501431743653,223,12
2483,2.2433815,0.24007562,529,0.05437607,2.696686410116906,575,46
2527,2.2432837,0.2970297,101,0.049129292,2.457447363123852,115,13
268,2.2432024,0.25710014,669,0.100435875,3.09400887611855,821,152
3280,2.2426114,0.30054644,183,0.03945628,2.7693572128855215,200,16
2800,2.2419376,0.37688443,199,0.036255755,3.6327821766118245,214,15
1810,2.2417216,0.36901408,710,0.059643555,3.128672886751901,928,218
3728,2.2411468,0.248,250,0.054015808,2.7991370924628756,296,45
3344,2.241117,0.27494615,1393,0.074297495,2.8557353834902868,1684,291
2170,2.2409368,0.28534704,389,0.050069947,2.7572539151666673,416,27
3267,2.2406778,0.36262375,808,0.053347178,3.5212130522882354,893,84
1814,2.2399151,0.41070482,1887,0.08547524,2.930546122371424,2705,818
2100,2.2396355,0.3257143,175,0.0870657,2.7216751892287734,198,22
1763,2.2396238,0.3478261,138,0.034134842,3.1601415777732904,157,19
3892,2.2392182,0.30014026,713,0.12102106,2.6047867287664865,871,158
1213,2.2390268,0.3764706,85,0.026198197,2.878856204700827,92,7
458,2.2388315,0.30996886,642,0.04060791,3.3988479450673963,692,49
926,2.238008,0.3536036,888,0.045372847,3.4582902516195997,1120,232
932,2.2377732,0.2519789,758,0.08895365,2.5814926939372365,993,235
2556,2.2374985,0.28290156,965,0.18133314,2.7444818124630603,1263,298
524,2.2374938,0.31730768,416,0.04333927,3.4775647426831795,498,82
2690,2.2373118,0.23943663,355,0.055904176,2.4553594700908983,446,90
2612,2.2372656,0.43009117,658,0.044962987,4.838073623416373,738,80
221,2.2364721,0.24899599,498,0.10660847,2.2219362987945184,724,226
3865,2.2364442,0.29032257,217,0.04138692,3.003025219780908,226,9
2850,2.2362547,0.22743683,554,0.06877249,2.176716525282692,727,173
2135,2.2357793,0.34974533,589,0.09153564,3.4954421306402566,630,41
1802,2.235708,0.2615694,497,0.061675597,2.4625268486381273,645,148
909,2.2354193,0.27592593,540,0.07678094,3.0252641295034035,647,107
3606,2.2352903,0.26500732,683,0.05746135,2.383749025619542,978,295
4140,2.2351885,0.34626436,696,0.052255284,3.8949220048253665,810,114
979,2.235123,0.23193917,263,0.10648831,2.222372971224232,324,61
2978,2.2349997,0.3280943,509,0.06283015,3.023476435882678,621,112
1635,2.2343445,0.25333333,375,0.052771542,2.435231737490738,412,37
1175,2.2337425,0.375,120,0.046798408,3.0223847511380764,127,7
850,2.232923,0.3448276,87,0.03948426,2.7536050465614856,89,1
1376,2.2328131,0.24342664,1179,0.09289484,2.205754575420134,1956,777
