filter_idx,final_equity,winrate,trades,max_losing_streak,avg_monthly_losing_streak,sharpe
18245,22.290241,0.41409737,9633,14,9.375,10.493625
37586,22.288586,0.41583103,9374,16,9.291666666666666,10.622744
32030,22.28748,0.42203,8670,13,9.208333333333334,11.003712
34738,22.285364,0.42073032,8818,13,9.5,10.919308
33079,22.2841,0.40299433,11288,19,10.583333333333334,9.75839
55999,22.28143,0.422786,8593,15,9.708333333333334,11.044335
27611,22.280735,0.41420674,9587,13,9.833333333333334,10.513015
99034,22.280165,0.41366833,9672,18,10.5,10.471444
69338,22.27934,0.41039088,10105,16,11.041666666666666,10.263919
36786,22.278923,0.41872302,9037,14,9.916666666666666,10.796668
90288,22.271038,0.41330045,9729,15,9.5,10.437535
51172,22.267456,0.42175618,8678,13,9.5,10.989195
49534,22.263838,0.41736573,9179,13,9.416666666666666,10.713451
26549,22.262695,0.418274,9073,14,9.416666666666666,10.768985
14391,22.261293,0.40339133,11205,18,10.416666666666666,9.780335
48485,22.257301,0.40809104,10456,17,10.625,10.094873
75593,22.25674,0.42573184,8301,13,9.416666666666666,11.205915
58788,22.256285,0.4224568,8621,14,9.541666666666666,11.016448
10364,22.254303,0.41551688,9422,16,9.625,10.583521
76180,22.25385,0.4190816,8972,15,9.291666666666666,10.818655
69226,22.253744,0.40523416,10890,19,10.25,9.906567
9659,22.253542,0.417881,9127,13,9.375,10.73589
73232,22.25335,0.4149588,9466,16,9.833333333333334,10.560647
15520,22.253088,0.4145676,9528,15,9.75,10.5294075
23908,22.251553,0.41304794,9718,14,9.916666666666666,10.434252
67789,22.249578,0.40870827,10335,15,10.25,10.145845
26172,22.248758,0.41640684,9301,14,9.583333333333334,10.642405
42100,22.248093,0.4077494,10504,16,9.833333333333334,10.069577
98855,22.24771,0.41634408,9300,14,9.666666666666666,10.643373
74626,22.247692,0.41513228,9450,13,10.208333333333334,10.566579
88843,22.246685,0.41011736,10141,19,11.0,10.232751
41924,22.245928,0.41282997,9774,18,10.208333333333334,10.403073
69766,22.245113,0.41242996,9815,17,10.041666666666666,10.383948
26809,22.243753,0.41535684,9416,13,9.666666666666666,10.580992
2684,22.242771,0.41954988,8931,13,9.416666666666666,10.836256
48409,22.240412,0.42453504,8388,13,9.416666666666666,11.144013
88313,22.238949,0.42017376,8863,13,9.416666666666666,10.872855
20166,22.23869,0.41014737,10111,15,10.041666666666666,10.241773
7600,22.237053,0.41827828,9049,16,9.916666666666666,10.768416
56817,22.231934,0.41192576,9861,17,10.25,10.356822
53877,22.23061,0.41854802,9036,12,9.333333333333334,10.773894
83087,22.225979,0.42058623,8802,13,9.041666666666666,10.899394
66211,22.224684,0.40889233,10301,17,10.291666666666666,10.149027
76786,22.2229,0.42429283,8414,14,9.208333333333334,11.119998
66646,22.221657,0.41133896,9948,13,9.666666666666666,10.310175
88816,22.22142,0.4073372,10549,18,9.875,10.037532
58530,22.218397,0.40994585,10155,19,10.916666666666666,10.214137
43863,22.21716,0.4157423,9376,14,9.625,10.589601
66694,22.213438,0.41182426,9878,13,9.958333333333334,10.33949
70252,22.213327,0.41411075,9553,17,10.041666666666666,10.495847
86176,22.204319,0.4192252,8957,13,9.916666666666666,10.804026
89377,22.202496,0.41826606,9066,13,9.708333333333334,10.744406
9663,22.201305,0.41518235,9432,13,9.291666666666666,10.553423
92570,22.200356,0.41298968,9700,15,10.125,10.419059
44834,22.196783,0.41097122,10008,16,10.458333333333334,10.271477
47692,22.195875,0.41139752,9932,20,9.916666666666666,10.304912
6565,22.193703,0.42423522,8434,11,9.0,11.095236
77361,22.193686,0.407531,10490,17,9.375,10.050295
26716,22.192505,0.41173494,9885,17,10.583333333333334,10.327317
57606,22.192142,0.41511035,9424,13,9.625,10.552439
14042,22.190044,0.4150823,9415,15,9.958333333333334,10.555886
33861,22.188625,0.41552365,9405,14,9.541666666666666,10.560566
